date,sentiment_classfn,xrp_price
2020-05-10,1252,0.19702
2020-05-11,1271,0.19254
2020-05-12,1269,0.19711
2020-05-13,1272,0.20177
2020-05-14,1275,0.20386
2020-05-15,1272,0.19818
2020-05-16,1278,0.19969
2020-05-17,1276,0.20131
2020-05-18,1276,0.20543
2020-05-19,1273,0.20496
2020-05-20,1266,0.20179
2020-05-21,1268,0.19434
2020-05-22,1270,0.20034
2020-05-23,1270,0.19883
2020-05-24,1268,0.19256
2020-05-25,1270,0.19622
2020-05-26,1271,0.19372
2020-05-27,1272,0.19791
2020-05-28,1259,0.20052
2020-05-29,1267,0.19759
2020-05-30,1272,0.20701
2020-05-31,1267,0.20245
2020-06-01,1272,0.211
2020-06-02,1273,0.20301
2020-06-03,1272,0.2041
2020-06-04,1271,0.20427
2020-06-05,1262,0.20274
2020-06-06,1269,0.20361
2020-06-07,1281,0.20329
2020-06-08,1261,0.20403
2020-06-09,1270,0.20127
2020-06-10,1271,0.20266
2020-06-11,1266,0.18817
2020-06-12,1276,0.19307
2020-06-13,1273,0.19234
2020-06-14,1269,0.19022
2020-06-15,1274,0.19238
2020-06-16,1270,0.19238
2020-06-17,1271,0.19315
2020-06-18,1258,0.18975
2020-06-19,1269,0.18722
2020-06-20,1269,0.18792
2020-06-21,1267,0.18602
2020-06-22,1269,0.18928
2020-06-23,1268,0.18889
2020-06-24,1265,0.18348
2020-06-25,1274,0.18156
2020-06-26,1276,0.18249
2020-06-27,1272,0.17509
2020-06-28,1272,0.17693
2020-06-29,1273,0.17726
2020-06-30,1268,0.17533
2020-07-01,1272,0.17647
2020-07-02,1262,0.17477
2020-07-03,1271,0.1762
2020-07-04,1277,0.17808
2020-07-05,1274,0.17695
2020-07-06,1281,0.18875
2020-07-07,1270,0.18508
2020-07-08,1313,0.20551
2020-07-09,1302,0.20263
2020-07-10,1282,0.19909
2020-07-11,1286,0.2011
2020-07-12,1279,0.20128
2020-07-13,1277,0.19867
2020-07-14,1275,0.19909
2020-07-15,1266,0.19721
2020-07-16,1278,0.19444
2020-07-17,1273,0.1944
2020-07-18,1283,0.1999
2020-07-19,1275,0.19956
2020-07-20,1275,0.19465
2020-07-21,1266,0.19949
2020-07-22,1272,0.20348
2020-07-23,1284,0.20851
2020-07-24,1283,0.20392
2020-07-25,1288,0.21463
2020-07-26,1280,0.21532
2020-07-27,1292,0.22437
2020-07-28,1319,0.23029
2020-07-29,1337,0.24327
2020-07-30,1304,0.24408
2020-07-31,1348,0.25939
2020-08-01,1428,0.29089
2020-08-02,1392,0.28803
2020-08-03,1336,0.31016
2020-08-04,1305,0.30138
2020-08-05,1294,0.30228
2020-08-06,1289,0.30311
2020-08-07,1285,0.29437
2020-08-08,1271,0.29527
2020-08-09,1267,0.2879
2020-08-10,1282,0.29469
2020-08-11,1299,0.2831
2020-08-12,1286,0.28233
2020-08-13,1282,0.2942
2020-08-14,1316,0.29995
2020-08-15,1268,0.29884
2020-08-16,1278,0.30455
2020-08-17,1322,0.31539
2020-08-18,1264,0.30251
2020-08-19,1271,0.28975
2020-08-20,1277,0.29218
2020-08-21,1279,0.27933
2020-08-22,1280,0.28592
2020-08-23,1281,0.2848
2020-08-24,1279,0.2884
2020-08-25,1279,0.27625
2020-08-26,1281,0.27653
2020-08-27,1266,0.26469
2020-08-28,1272,0.27174
2020-08-29,1284,0.2738
2020-08-30,1279,0.28302
2020-08-31,1279,0.28115
2020-09-01,1308,0.29521
2020-09-02,1301,0.27595
2020-09-03,1277,0.24409
2020-09-04,1276,0.25385
2020-09-05,1288,0.23738
2020-09-06,1271,0.23986
2020-09-07,1296,0.24198
2020-09-08,1274,0.23657
2020-09-09,1282,0.23901
2020-09-10,1279,0.24302
2020-09-11,1273,0.24252
2020-09-12,1280,0.24752
2020-09-13,1278,0.24218
2020-09-14,1272,0.24564
2020-09-15,1278,0.24331
2020-09-16,1275,0.24686
2020-09-17,1293,0.25214
2020-09-18,1277,0.25065
2020-09-19,1282,0.25112
2020-09-20,1277,0.24652
2020-09-21,1273,0.23102
2020-09-22,1270,0.23302
2020-09-23,1274,0.22164
2020-09-24,1274,0.23276
2020-09-25,1279,0.24154
2020-09-26,1280,0.24153
2020-09-27,1277,0.24334
2020-09-28,1284,0.24107
2020-09-29,1273,0.24285
2020-09-30,1271,0.24171
2020-10-01,1273,0.23819
2020-10-02,1276,0.23386
